Sudoku,Size,CE-Size,No. Atoms,No. Clauses,Seconds
../instances/experiments/extable9-1.txt,9,4,81,81,0.013
../instances/experiments/extable9-2.txt,9,4,81,81,0.005
../instances/experiments/extable9-3.txt,9,4,81,81,0.006
../instances/experiments/extable9-4.txt,9,4,283,897,0.009
../instances/experiments/extable9-5.txt,9,4,548,2084,0.009
../instances/experiments/extable9-6.txt,9,4,81,81,0.005
../instances/experiments/extable9-7.txt,9,4,81,81,0.005
../instances/experiments/extable16-1.txt,16,4,1791,6905,0.026
../instances/experiments/extable16-2.txt,16,4,1893,7248,0.024
../instances/experiments/extable16-3.txt,16,4,2048,7954,0.026
../instances/experiments/extable25-1.txt,25,4,5387,21764,9.973
../instances/experiments/extable25-2.txt,25,4,4712,18695,0.122
../instances/experiments/extable36-1.txt,36,4,9178,36207,38.137
../instances/experiments/extable36-2.txt,36,4,8749,34201,7.055
../instances/experiments/extable36-3.txt,36,4,9415,37501,45.366
../instances/experiments/extable36-4.txt,36,4,8668,34060,1.767
../instances/experiments/extable36-5.txt,36,4,8967,34922,19.223
../instances/experiments/extable36-6.txt,36,4,8144,31238,1.255
../instances/experiments/extable36-7.txt,36,4,9210,36332,32.902
../instances/experiments/extable49-1.txt,49,4,15507,60814,25.885
../instances/experiments/extable49-2.txt,49,4,14928,57913,54.97
../instances/experiments/extable49-3.txt,49,4,15430,60644,41.449
../instances/experiments/extable49-4.txt,49,4,14872,57452,13.602
../instances/experiments/extable49-5.txt,49,4,16412,64982,59.548
../instances/experiments/extable49-6.txt,49,4,15452,60163,31.362
../instances/experiments/extable49-7.txt,49,4,15266,59497,0.987
../instances/experiments/extable49-8.txt,49,4,16560,66432,35.615
../instances/experiments/extable64-1.txt,64,4,23726,91092,3.408
../instances/experiments/extable64-2.txt,64,4,24621,95384,2.818
../instances/experiments/extable81-1.txt,81,4,36300,138818,1.415
../instances/experiments/extable81-2.txt,81,4,37039,142392,5.715
../instances/experiments/extable81-3.txt,81,4,37935,147076,5.829
../instances/experiments/extable81-4.txt,81,4,38700,150730,21.034
../instances/experiments/extable81-5.txt,81,4,35184,133544,20.319
../instances/experiments/extable81-6.txt,81,4,35944,137332,33.377
../instances/experiments/extable81-7.txt,81,4,34135,128250,14.692
../instances/experiments/extable81-8.txt,81,4,35484,135608,2.546
../instances/experiments/extable81-9.txt,81,4,36387,139369,3.407
../instances/experiments/extable81-10.txt,81,4,37389,143957,18.736
../instances/experiments/extable100-1.txt,100,4,49940,186729,22.549
../instances/experiments/extable100-2.txt,100,4,93934,418116,1.923
../instances/experiments/extable121-1.txt,121,4,75100,285894,4.395
../instances/experiments/extable121-2.txt,121,4,72898,275012,6.834
../instances/experiments/extable121-3.txt,121,4,74350,282501,2.34
../instances/experiments/extable121-4.txt,121,4,72095,270748,2.147
../instances/experiments/extable144-1.txt,144,4,98090,365925,6.764
../instances/experiments/extable144-2.txt,144,4,96380,357908,19.67
../instances/experiments/extable144-3.txt,144,4,96380,357908,18.516
../instances/experiments/extable169-1.txt,169,4,133872,500176,4.326
../instances/experiments/extable169-2.txt,169,4,125056,457580,17.592
../instances/experiments/extable169-3.txt,169,4,129627,479962,17.387
../instances/experiments/extable169-4.txt,169,4,123392,450131,3.934
../instances/experiments/extable169-5.txt,169,4,124416,455359,5.033
../instances/experiments/extable169-6.txt,169,4,126122,462711,4.805
../instances/experiments/extable169-7.txt,169,4,124189,453709,3.88
../instances/experiments/extable225-1.txt,225,4,213139,775459,21.762
../instances/experiments/extable225-2.txt,225,4,208593,754645,10.734
../instances/experiments/extable225-3.txt,225,4,223203,825041,151.878
../instances/experiments/extable225-4.txt,225,4,202311,724084,8.613
