Sudoku,Size,CE-Size,No. Atoms,No. Clauses,Seconds
../instances/experiments/extable9-1.txt,9,3,81,81,0.015
../instances/experiments/extable9-2.txt,9,3,81,81,0.007
../instances/experiments/extable9-3.txt,9,3,81,81,0.006
../instances/experiments/extable9-4.txt,9,3,319,880,0.007
../instances/experiments/extable9-5.txt,9,3,657,1988,0.01
../instances/experiments/extable9-6.txt,9,3,81,81,0.005
../instances/experiments/extable9-7.txt,9,3,81,81,0.005
../instances/experiments/extable16-1.txt,16,3,2120,6566,0.024
../instances/experiments/extable16-2.txt,16,3,2205,6846,0.024
../instances/experiments/extable16-3.txt,16,3,2376,7567,0.027
../instances/experiments/extable25-1.txt,25,3,6302,20516,11.715
../instances/experiments/extable25-2.txt,25,3,5533,17683,0.8
../instances/experiments/extable36-1.txt,36,3,10748,34323,45.614
../instances/experiments/extable36-2.txt,36,3,10214,32416,7.429
../instances/experiments/extable36-3.txt,36,3,11090,35517,65.028
../instances/experiments/extable36-4.txt,36,3,10161,32265,6.907
../instances/experiments/extable36-5.txt,36,3,10398,32983,89.098
../instances/experiments/extable36-6.txt,36,3,9447,29611,0.951
../instances/experiments/extable36-7.txt,36,3,10777,34359,32.706
../instances/experiments/extable49-1.txt,49,3,18180,57634,32.487
../instances/experiments/extable49-2.txt,49,3,17427,54785,47.065
../instances/experiments/extable49-3.txt,49,3,18147,57348,47.917
../instances/experiments/extable49-4.txt,49,3,17356,54459,10.692
../instances/experiments/extable49-5.txt,49,3,19336,61514,91.298
../instances/experiments/extable49-6.txt,49,3,18020,56949,36.571
../instances/experiments/extable49-7.txt,49,3,17829,56308,2.541
../instances/experiments/extable49-8.txt,49,3,19628,62780,36.775
../instances/experiments/extable64-1.txt,64,3,27673,86252,3.913
../instances/experiments/extable64-2.txt,64,3,28836,90485,3.816
../instances/experiments/extable81-1.txt,81,3,42346,131372,1.62
../instances/experiments/extable81-2.txt,81,3,43196,134838,5.83
../instances/experiments/extable81-3.txt,81,3,44510,139248,9.576
../instances/experiments/extable81-4.txt,81,3,45490,142756,18.196
../instances/experiments/extable81-5.txt,81,3,41053,126546,23.294
../instances/experiments/extable81-6.txt,81,3,41941,130090,35.287
../instances/experiments/extable81-7.txt,81,3,39673,121763,29.789
../instances/experiments/extable81-8.txt,81,3,41506,128528,2.272
../instances/experiments/extable81-9.txt,81,3,42521,132210,5.241
../instances/experiments/extable81-10.txt,81,3,43642,136274,16.349
../instances/experiments/extable100-1.txt,100,3,57910,176986,10.475
../instances/experiments/extable100-2.txt,100,3,115813,389883,1.821
../instances/experiments/extable121-1.txt,121,3,87804,270758,4.933
../instances/experiments/extable121-2.txt,121,3,85179,260733,10.445
../instances/experiments/extable121-3.txt,121,3,86921,267710,1.991
../instances/experiments/extable121-4.txt,121,3,83962,256723,2.171
../instances/experiments/extable144-1.txt,144,3,114188,346873,8.093
../instances/experiments/extable144-2.txt,144,3,111993,339168,29.615
../instances/experiments/extable144-3.txt,144,3,111993,339168,29.792
../instances/experiments/extable169-1.txt,169,3,155802,473984,4.666
../instances/experiments/extable169-2.txt,169,3,144772,434059,13.206
../instances/experiments/extable169-3.txt,169,3,150729,455363,20.934
../instances/experiments/extable169-4.txt,169,3,143082,427343,4.396
../instances/experiments/extable169-5.txt,169,3,144196,432025,5.23
../instances/experiments/extable169-6.txt,169,3,146145,438951,4.92
../instances/experiments/extable169-7.txt,169,3,143850,430590,4.124
../instances/experiments/extable225-1.txt,225,3,246791,735561,21.804
../instances/experiments/extable225-2.txt,225,3,241353,716247,11.32
../instances/experiments/extable225-3.txt,225,3,259379,781509,142.506
../instances/experiments/extable225-4.txt,225,3,233189,687349,9.016
